,AZD7762,PLX4720,Olaparib,Linsitinib,Fluorouracil
COSMIC_722046,1,2,1,2,2
COSMIC_722066,0,0,1,1,0
COSMIC_724825,1,1,1,2,2
COSMIC_724828,1,0,0,1,1
COSMIC_724831,1,1,0,1,2
COSMIC_724834,0,0,0,1,1
COSMIC_724838,1,1,1,1,1
COSMIC_724839,0,0,0,0,0
COSMIC_724855,1,1,0,2,0
COSMIC_724859,1,2,1,1,1
COSMIC_724863,2,1,0,1,1
COSMIC_724866,0,1,0,2,1
COSMIC_724868,1,2,1,2,2
COSMIC_724869,1,0,0,0,0
COSMIC_724870,1,0,1,1,1
COSMIC_724872,1,1,1,1,1
COSMIC_724873,1,2,1,2,1
COSMIC_724878,0,0,1,0,0
COSMIC_724879,1,1,0,1,1
COSMIC_735784,1,0,1,1,1
COSMIC_749709,1,1,1,1,1
COSMIC_749710,2,1,0,1,1
COSMIC_749711,0,0,1,1,0
COSMIC_749712,2,1,2,1,0
COSMIC_749713,2,1,1,2,1
COSMIC_749714,1,1,0,0,1
COSMIC_749715,0,1,0,1,1
COSMIC_749716,0,1,1,1,0
COSMIC_749717,1,0,0,0,1
COSMIC_753532,1,2,1,2,1
COSMIC_753538,1,1,1,0,1
COSMIC_753539,1,1,2,1,2
COSMIC_753541,1,1,1,1,2
COSMIC_753546,1,1,1,2,0
COSMIC_753547,2,1,2,2,1
COSMIC_753548,2,1,2,2,2
COSMIC_753551,1,1,1,1,2
COSMIC_753552,1,1,1,2,1
COSMIC_753554,0,0,1,1,0
COSMIC_753555,1,1,1,1,1
COSMIC_753556,2,1,1,1,1
COSMIC_753558,1,1,1,1,1
COSMIC_753561,2,2,1,1,1
COSMIC_753562,1,2,1,1,1
COSMIC_753563,2,2,2,1,2
COSMIC_753565,1,2,2,2,1
COSMIC_753566,0,0,0,0,1
COSMIC_753569,1,1,1,1,1
COSMIC_753572,1,1,1,1,1
COSMIC_753573,2,2,1,1,2
COSMIC_753574,1,0,0,0,1
COSMIC_753575,1,0,0,1,0
COSMIC_753576,1,1,1,0,1
COSMIC_753583,0,1,0,2,0
COSMIC_753584,0,1,1,1,1
COSMIC_753585,1,2,1,1,1
COSMIC_753586,1,2,0,1,1
COSMIC_753589,1,0,0,1,0
COSMIC_753592,1,1,1,1,1
COSMIC_753594,1,1,2,2,1
COSMIC_753600,0,0,0,1,0
COSMIC_753607,1,1,1,1,1
COSMIC_753608,2,1,0,1,1
COSMIC_753610,1,1,2,1,2
COSMIC_753612,0,1,1,2,1
COSMIC_753614,1,2,1,1,2
COSMIC_753615,0,1,1,1,1
COSMIC_753616,1,1,1,2,1
COSMIC_753618,2,1,2,1,2
COSMIC_753620,2,1,1,2,2
COSMIC_753621,1,1,1,1,0
COSMIC_753623,1,1,1,1,1
COSMIC_753624,1,1,2,0,1
COSMIC_905933,1,1,1,1,1
COSMIC_905934,0,0,0,0,1
COSMIC_905935,1,0,0,0,0
COSMIC_905936,1,2,2,1,2
COSMIC_905937,1,2,1,1,2
COSMIC_905938,1,1,1,2,2
COSMIC_905939,2,2,0,2,2
COSMIC_905940,1,1,1,1,1
COSMIC_905941,0,0,0,1,0
COSMIC_905942,1,1,1,1,1
COSMIC_905944,0,1,0,1,0
COSMIC_905945,0,1,1,1,1
COSMIC_905946,0,0,0,1,2
COSMIC_905947,2,1,1,1,1
COSMIC_905948,1,1,0,1,1
COSMIC_905949,1,2,1,1,2
COSMIC_905950,2,2,1,1,2
COSMIC_905951,2,1,0,0,1
COSMIC_905952,2,2,2,1,1
COSMIC_905955,1,1,1,0,0
COSMIC_905956,1,2,1,1,0
COSMIC_905957,1,2,1,0,1
COSMIC_905958,2,1,2,1,2
COSMIC_905959,1,1,0,0,1
COSMIC_905960,1,0,1,0,1
COSMIC_905961,1,2,2,2,2
COSMIC_905962,1,1,1,1,1
COSMIC_905964,2,1,2,2,2
COSMIC_905965,2,2,2,2,2
COSMIC_905967,2,2,0,2,1
COSMIC_905968,2,2,2,1,2
COSMIC_905969,1,0,0,1,1
COSMIC_905970,1,1,1,1,0
COSMIC_905971,1,1,1,1,2
COSMIC_905972,1,1,1,0,1
COSMIC_905973,1,1,1,1,0
COSMIC_905974,1,2,2,1,2
COSMIC_905975,2,2,1,1,1
COSMIC_905976,0,2,1,1,1
COSMIC_905977,0,2,0,0,0
COSMIC_905978,1,1,1,1,0
COSMIC_905979,1,0,0,0,0
COSMIC_905980,1,0,0,0,1
COSMIC_905983,0,1,0,0,0
COSMIC_905984,2,2,2,1,2
COSMIC_905986,1,1,0,0,0
COSMIC_905989,2,1,1,1,2
COSMIC_905990,0,0,1,1,0
COSMIC_905991,2,1,2,1,1
COSMIC_906693,1,2,1,1,1
COSMIC_906696,0,2,1,2,0
COSMIC_906746,1,0,1,0,0
COSMIC_906763,2,2,1,2,1
COSMIC_906765,2,1,2,1,2
COSMIC_906790,1,1,2,1,1
COSMIC_906791,1,0,1,1,0
COSMIC_906792,1,2,2,1,1
COSMIC_906793,1,2,2,1,1
COSMIC_906794,0,1,1,1,1
COSMIC_906795,1,2,1,1,0
COSMIC_906797,1,1,2,1,0
COSMIC_906798,1,0,2,1,1
COSMIC_906800,2,2,2,2,2
COSMIC_906801,0,1,1,1,1
COSMIC_906804,1,1,2,1,2
COSMIC_906805,1,2,0,1,1
COSMIC_906808,1,1,2,1,0
COSMIC_906812,1,0,0,2,1
COSMIC_906814,0,1,1,2,0
COSMIC_906817,0,0,0,0,1
COSMIC_906818,2,2,0,1,1
COSMIC_906820,1,1,2,2,2
COSMIC_906821,1,1,1,1,2
COSMIC_906824,1,1,1,1,1
COSMIC_906826,0,0,0,0,0
COSMIC_906827,2,1,2,1,1
COSMIC_906828,2,0,2,1,2
COSMIC_906830,1,2,1,0,0
COSMIC_906831,1,1,2,1,2
COSMIC_906832,1,2,1,1,1
COSMIC_906833,1,1,2,1,1
COSMIC_906834,2,1,2,2,2
COSMIC_906835,0,2,0,0,0
COSMIC_906836,2,2,2,2,2
COSMIC_906837,1,2,1,1,2
COSMIC_906838,1,1,0,1,1
COSMIC_906839,1,1,1,0,0
COSMIC_906842,2,2,2,1,2
COSMIC_906843,1,1,1,1,0
COSMIC_906844,1,2,2,2,2
COSMIC_906846,2,2,1,1,2
COSMIC_906847,1,1,1,1,1
COSMIC_906848,1,2,1,2,1
COSMIC_906849,1,1,1,1,1
COSMIC_906851,0,1,1,0,1
COSMIC_906852,1,1,1,0,2
COSMIC_906853,0,0,1,0,0
COSMIC_906855,2,2,2,1,2
COSMIC_906856,2,2,2,2,2
COSMIC_906861,1,1,1,1,1
COSMIC_906862,1,1,2,1,1
COSMIC_906863,1,1,1,1,1
COSMIC_906864,1,1,1,1,0
COSMIC_906865,0,2,2,1,0
COSMIC_906868,1,1,1,1,0
COSMIC_906869,1,0,0,1,1
COSMIC_906870,2,1,2,2,2
COSMIC_906871,2,1,1,1,0
COSMIC_906872,1,1,0,1,1
COSMIC_906873,1,2,1,1,2
COSMIC_906875,2,1,2,1,2
COSMIC_906877,2,1,2,2,1
COSMIC_906999,1,2,0,1,1
COSMIC_907000,2,2,2,1,1
COSMIC_907042,1,2,2,1,2
COSMIC_907043,2,2,2,1,2
COSMIC_907044,2,2,2,1,2
COSMIC_907045,0,1,1,1,0
COSMIC_907046,2,2,0,1,1
COSMIC_907047,2,1,2,1,2
COSMIC_907048,2,2,1,0,1
COSMIC_907050,0,0,0,0,0
COSMIC_907051,0,1,1,0,0
COSMIC_907053,2,1,2,1,2
COSMIC_907055,1,1,2,1,2
COSMIC_907056,1,1,0,1,0
COSMIC_907057,1,1,1,1,1
COSMIC_907058,0,2,0,2,1
COSMIC_907060,1,1,1,2,1
COSMIC_907061,1,2,1,1,2
COSMIC_907062,1,1,1,0,1
COSMIC_907064,1,1,1,1,0
COSMIC_907065,1,1,1,1,0
COSMIC_907066,1,1,1,0,0
COSMIC_907067,1,2,1,1,1
COSMIC_907068,0,1,1,1,2
COSMIC_907069,1,2,1,0,2
COSMIC_907071,0,0,1,1,0
COSMIC_907072,1,1,2,2,1
COSMIC_907073,1,2,1,2,2
COSMIC_907169,1,2,1,1,0
COSMIC_907170,2,1,2,1,2
COSMIC_907172,1,2,1,1,1
COSMIC_907173,1,1,0,2,1
COSMIC_907268,2,1,2,1,2
COSMIC_907269,2,2,2,1,2
COSMIC_907270,2,2,2,1,2
COSMIC_907271,1,1,1,0,1
COSMIC_907272,2,2,2,2,1
COSMIC_907273,2,2,2,1,2
COSMIC_907274,2,1,1,1,1
COSMIC_907275,2,2,2,2,1
COSMIC_907276,0,1,1,1,2
COSMIC_907277,2,2,2,1,2
COSMIC_907278,1,1,1,1,0
COSMIC_907279,0,1,0,1,1
COSMIC_907280,1,1,1,2,1
COSMIC_907281,2,2,2,2,1
COSMIC_907285,1,0,1,1,1
COSMIC_907286,1,0,1,0,1
COSMIC_907287,1,2,1,2,2
COSMIC_907289,0,1,1,2,1
COSMIC_907290,0,1,1,1,0
COSMIC_907291,2,1,1,1,1
COSMIC_907295,0,1,1,2,0
COSMIC_907298,2,1,2,1,2
COSMIC_907299,1,1,2,2,2
COSMIC_907300,2,2,1,2,1
COSMIC_907311,2,2,1,2,1
COSMIC_907312,1,1,1,1,2
COSMIC_907313,1,1,0,1,1
COSMIC_907314,2,0,2,2,2
COSMIC_907317,1,2,1,1,2
COSMIC_907318,2,1,1,1,2
COSMIC_907319,2,1,1,0,2
COSMIC_907320,1,1,1,0,2
COSMIC_907321,1,1,1,1,1
COSMIC_907322,1,2,2,1,1
COSMIC_907323,2,2,2,2,2
COSMIC_907783,2,2,2,1,2
COSMIC_907787,2,1,2,2,2
COSMIC_907788,1,1,2,1,2
COSMIC_907789,2,2,1,1,1
COSMIC_907790,2,2,1,1,2
COSMIC_907791,2,0,2,1,0
COSMIC_907792,1,0,0,0,0
COSMIC_907794,2,2,0,1,2
COSMIC_907795,1,1,1,2,2
COSMIC_907796,1,0,2,1,0
COSMIC_908121,1,1,1,1,0
COSMIC_908122,1,1,0,1,2
COSMIC_908123,1,2,2,1,1
COSMIC_908125,0,0,0,1,0
COSMIC_908126,2,2,1,1,1
COSMIC_908127,1,1,2,1,2
COSMIC_908128,0,0,0,0,0
COSMIC_908129,0,1,1,0,1
COSMIC_908130,1,0,1,0,0
COSMIC_908131,1,1,1,0,1
COSMIC_908132,1,2,2,2,2
COSMIC_908136,2,1,2,2,2
COSMIC_908138,2,1,0,1,1
COSMIC_908139,0,1,0,1,2
COSMIC_908141,2,1,2,2,2
COSMIC_908142,2,2,2,1,2
COSMIC_908143,1,1,1,1,1
COSMIC_908144,1,2,1,0,0
COSMIC_908145,1,2,1,0,1
COSMIC_908146,2,1,1,1,1
COSMIC_908147,2,2,2,1,2
COSMIC_908148,2,2,2,2,2
COSMIC_908149,0,1,1,1,1
COSMIC_908150,1,2,1,1,0
COSMIC_908151,1,1,1,1,2
COSMIC_908152,1,1,2,1,0
COSMIC_908156,2,2,2,2,2
COSMIC_908158,2,1,2,2,2
COSMIC_908159,2,2,2,2,2
COSMIC_908440,1,2,2,2,2
COSMIC_908441,2,2,1,1,0
COSMIC_908443,1,1,0,0,1
COSMIC_908444,1,1,2,1,1
COSMIC_908445,2,1,1,1,2
COSMIC_908446,2,2,2,2,2
COSMIC_908447,1,0,1,2,1
COSMIC_908448,2,1,2,2,2
COSMIC_908451,2,1,1,2,2
COSMIC_908454,1,2,2,1,2
COSMIC_908455,1,2,1,1,1
COSMIC_908457,0,0,0,2,1
COSMIC_908458,1,1,0,2,0
COSMIC_908459,1,1,0,1,1
COSMIC_908460,0,0,0,0,0
COSMIC_908461,1,1,0,1,1
COSMIC_908462,2,2,1,1,1
COSMIC_908463,0,0,0,0,0
COSMIC_908465,1,1,1,1,1
COSMIC_908467,1,1,2,1,0
COSMIC_908470,1,0,0,0,0
COSMIC_908471,1,2,2,1,1
COSMIC_908472,0,1,1,1,0
COSMIC_908473,0,0,0,2,1
COSMIC_908474,2,2,1,1,1
COSMIC_908475,2,2,0,2,1
COSMIC_908476,1,1,1,1,2
COSMIC_908483,1,2,1,2,1
COSMIC_909248,2,1,1,1,2
COSMIC_909249,2,1,1,2,2
COSMIC_909250,0,0,0,1,1
COSMIC_909251,2,2,2,2,1
COSMIC_909252,2,2,2,1,2
COSMIC_909253,2,1,1,1,1
COSMIC_909255,1,2,1,2,2
COSMIC_909256,1,1,2,1,1
COSMIC_909257,1,1,1,0,2
COSMIC_909260,2,1,1,1,1
COSMIC_909262,2,1,2,1,2
COSMIC_909263,1,1,0,1,1
COSMIC_909264,1,1,1,2,1
COSMIC_909696,1,1,2,2,1
COSMIC_909697,1,2,1,1,2
COSMIC_909698,2,2,1,1,2
COSMIC_909699,1,1,0,0,0
COSMIC_909701,2,2,2,1,2
COSMIC_909702,2,1,2,2,2
COSMIC_909703,2,2,2,2,2
COSMIC_909704,1,0,1,2,2
COSMIC_909707,1,1,0,2,1
COSMIC_909708,1,1,1,2,2
COSMIC_909709,0,1,0,1,1
COSMIC_909713,1,2,0,0,1
COSMIC_909716,2,1,2,2,1
COSMIC_909717,1,1,1,1,1
COSMIC_909718,2,1,2,2,2
COSMIC_909719,0,2,0,1,1
COSMIC_909720,1,1,0,1,1
COSMIC_909721,0,1,0,0,0
COSMIC_909722,2,2,2,2,2
COSMIC_909723,0,2,0,1,0
COSMIC_909725,0,2,1,0,0
COSMIC_909728,1,1,1,0,0
COSMIC_909729,1,0,1,1,0
COSMIC_909731,2,1,2,2,2
COSMIC_909732,1,1,1,1,1
COSMIC_909735,1,2,1,1,1
COSMIC_909736,1,0,1,2,0
COSMIC_909737,1,1,1,1,1
COSMIC_909738,0,2,1,1,1
COSMIC_909740,1,0,0,1,1
COSMIC_909743,2,1,2,1,2
COSMIC_909744,1,1,1,2,1
COSMIC_909745,1,2,1,0,1
COSMIC_909746,0,0,0,1,0
COSMIC_909747,0,1,0,1,0
COSMIC_909748,1,1,0,1,1
COSMIC_909749,1,1,0,1,1
COSMIC_909750,2,1,2,1,1
COSMIC_909751,1,1,1,2,1
COSMIC_909753,1,1,0,1,1
COSMIC_909754,0,0,0,0,0
COSMIC_909755,1,1,1,1,1
COSMIC_909756,1,2,1,1,1
COSMIC_909757,1,1,1,1,1
COSMIC_909759,1,2,2,1,2
COSMIC_909761,1,1,1,1,0
COSMIC_909769,1,1,1,0,0
COSMIC_909770,2,1,1,1,2
COSMIC_909773,2,1,1,2,2
COSMIC_909774,1,1,1,0,1
COSMIC_909776,1,0,1,1,1
COSMIC_909777,2,2,1,2,2
COSMIC_909778,0,1,1,1,1
COSMIC_909779,1,0,0,1,0
COSMIC_909780,1,1,2,1,2
COSMIC_909781,0,0,0,0,0
COSMIC_909784,0,2,1,0,1
COSMIC_909785,2,2,2,2,2
COSMIC_909904,1,1,0,1,1
COSMIC_909905,1,1,2,1,1
COSMIC_909907,0,1,0,0,0
COSMIC_909974,0,1,0,1,0
COSMIC_909975,0,0,0,0,0
COSMIC_909976,1,1,2,1,0
COSMIC_909977,1,1,1,0,1
COSMIC_910079,1,1,1,0,2
COSMIC_910401,2,1,1,1,1
COSMIC_910544,2,2,2,1,2
COSMIC_910546,1,1,1,1,2
COSMIC_910548,1,1,1,1,0
COSMIC_910549,2,1,1,1,2
COSMIC_910554,0,1,1,1,2
COSMIC_910568,1,1,2,0,1
COSMIC_910569,1,2,1,2,2
COSMIC_910687,2,1,1,2,2
COSMIC_910688,2,2,2,1,2
COSMIC_910689,0,0,0,0,0
COSMIC_910691,1,1,0,1,1
COSMIC_910692,1,0,1,2,1
COSMIC_910694,0,0,1,0,0
COSMIC_910695,1,1,0,2,0
COSMIC_910698,1,1,2,1,1
COSMIC_910700,0,1,0,1,1
COSMIC_910702,0,0,0,1,0
COSMIC_910703,1,1,2,1,1
COSMIC_910704,1,1,1,2,2
COSMIC_910705,2,1,2,2,2
COSMIC_910706,2,2,2,1,1
COSMIC_910710,2,2,2,2,2
COSMIC_910779,0,1,0,1,0
COSMIC_910780,1,1,2,2,0
COSMIC_910781,1,1,1,1,0
COSMIC_910784,1,1,1,1,1
COSMIC_910849,1,1,1,1,0
COSMIC_910850,0,1,1,1,0
COSMIC_910851,1,1,1,1,2
COSMIC_910852,1,1,1,1,1
COSMIC_910853,1,1,1,1,0
COSMIC_910900,1,1,2,1,1
COSMIC_910903,1,2,2,1,1
COSMIC_910904,1,1,1,1,1
COSMIC_910905,1,0,0,2,1
COSMIC_910906,2,2,1,1,2
COSMIC_910907,1,0,1,0,0
COSMIC_910910,0,1,1,0,2
COSMIC_910911,1,0,1,1,0
COSMIC_910915,1,0,0,1,0
COSMIC_910916,1,1,2,1,2
COSMIC_910919,1,2,1,2,2
COSMIC_910920,1,1,2,1,1
COSMIC_910921,1,2,1,1,1
COSMIC_910922,2,1,1,1,2
COSMIC_910924,1,1,1,1,2
COSMIC_910926,1,1,1,1,1
COSMIC_910927,1,1,2,1,2
COSMIC_910930,2,1,2,1,2
